Time,Time Code,Country Name,Country Code,Access to electricity (% of population) [EG.ELC.ACCS.ZS],"Air transport, registered carrier departures worldwide [IS.AIR.DPRT]","Automated teller machines (ATMs) (per 100,000 adults) [FB.ATM.TOTL.P5]","Borrowers from commercial banks (per 1,000 adults) [FB.CBK.BRWR.P3]",CPIA economic management cluster average (1=low to 6=high) [IQ.CPA.ECON.XQ],CPIA financial sector rating (1=low to 6=high) [IQ.CPA.FINS.XQ],CPIA gender equality rating (1=low to 6=high) [IQ.CPA.GNDR.XQ],CPIA macroeconomic management rating (1=low to 6=high) [IQ.CPA.MACR.XQ],CPIA policies for social inclusion/equity cluster average (1=low to 6=high) [IQ.CPA.SOCI.XQ],CPIA property rights and rule-based governance rating (1=low to 6=high) [IQ.CPA.PROP.XQ],Depth of credit information index (0=low to 8=high) [IC.CRD.INFO.XQ],Domestic credit provided by financial sector (% of GDP) [FS.AST.DOMS.GD.ZS],Domestic credit to private sector (% of GDP) [FS.AST.PRVT.GD.ZS],Ease of doing business index (1=most business-friendly regulations) [IC.BUS.EASE.XQ],Electric power consumption (kWh per capita) [EG.USE.ELEC.KH.PC],Fixed broadband Internet subscribers (per 100 people) [IT.NET.BBND.P2],Informal payments to public officials (% of firms) [IC.FRM.CORR.ZS],Market capitalization of listed companies (% of GDP) [CM.MKT.LCAP.GD.ZS],Mobile cellular subscriptions (per 100 people) [IT.CEL.SETS.P2],Number of visits or required meetings with tax officials [IC.TAX.METG],Private credit bureau coverage (% of adults) [IC.CRD.PRVT.ZS],Public credit registry coverage (% of adults) [IC.CRD.PUBL.ZS],Tax payments (number) [IC.TAX.PAYM],"Taxes on income, profits and capital gains (% of total taxes) [GC.TAX.YPKG.ZS]",Telephone lines (per 100 people) [IT.MLT.MAIN.P2],Time required to enforce a contract (days) [IC.LGL.DURS],Time required to obtain an operating license (days) [IC.FRM.DURS],Time required to register property (days) [IC.PRP.DURS],Time required to start a business (days) [IC.REG.DURS],Time to prepare and pay taxes (hours) [IC.TAX.DURS],Time to resolve insolvency (years) [IC.ISV.DURS]
2016,YR2016,Nigeria,NGA,59.3,53971,16.7301836033315,..,3.5,3,3,3,3.5,2.5,6,26.5551302713839,15.67959555801,..,..,0.0580306515997343,..,7.36246972172176,82.9842823503503,..,7.7,0.1,59,..,0.0830761326276023,509.8,..,69.6,24.9,429.4,2
2016,YR2016,New Zealand,NZL,100,181125,..,..,..,..,..,..,..,..,8,..,..,..,..,32.8374777641679,..,42.2896989990389,124.441274767837,..,100,0,7,61.9428489043511,37.761490274378,216,..,1,0.5,152,1.3
2016,YR2016,Norway,NOR,100,..,39.0459484916568,..,..,..,..,..,..,..,6,150.331244594217,144.9252365712,..,..,40.1430987227801,..,62.3208365350085,108.831075605925,..,100,0,4,43.2252700366856,15.3607993158117,400,..,3,4,83,0.9
2016,YR2016,Pakistan,PAK,99.1474380493164,70005,9.83432020351025,21.746042175012,3.5,3.5,2.5,3.5,3.2,2.5,7,52.3562277148463,16.525085530585,..,..,0.850297848678458,..,32.966880634986,70.6452165487954,..,5.8,9.4,47,..,1.60681115281798,1071.2,..,154.8,18,311.5,2.6
2016,YR2016,Peru,PER,94.8517456054688,129880,108.567808070074,149.851286987055,..,..,..,..,..,..,8,..,..,..,..,6.6745538680422,..,42.3132537500357,116.237641287224,..,100,37.4,9,41.6404162639986,9.6760860404687,426,..,7.5,26.5,260,3.1
2016,YR2016,Poland,POL,100,84075,72.4279947073181,455.902491491856,..,..,..,..,..,..,8,75.6886363501856,54.5598199110423,..,..,19.1707811840654,..,29.4210865312485,138.659500565215,..,92.5,0,7,24.9819863793785,21.3035204467512,685,..,33,37,271,3
2016,YR2016,Qatar,QAT,100,200927,60.7301718700013,252.163512372869,..,..,..,..,..,..,5,147.051129251701,79.3840306347705,..,..,9.8730486838685,..,101.555877701154,142.134536330397,..,0,30.5,4,..,18.1783513450831,570,..,13,8.7,41,2.8
2016,YR2016,Philippines,PHL,90.9816131591797,345482,27.1488614008801,..,..,..,..,..,..,..,5,63.4920445564781,44.7168762013633,..,..,2.8895137294614,..,78.6312342090924,116.237550283235,..,10.2,0,28,46.5169486818253,3.66042767503926,962,..,35,28,185.6,2.7
2016,YR2016,Russian Federation,RUS,100,746446,168.697736757443,..,..,..,..,..,..,..,7,..,53.3700122223198,..,..,19.1176988179024,..,48.4189435637616,159.154604996302,..,77.2,0,7,-4.46899868497886,22.4198410618039,337,..,16,10.1,168,2
2016,YR2016,Saudi Arabia,SAU,100,256635,74.4239467110062,166.232107431781,..,..,..,..,..,..,8,34.0594537566643,58.1144945652296,..,..,10.1861906146258,..,69.5931671768184,148.509684704775,..,48.3,0,3,..,11.2699134800756,575,..,3,19.3,67,..
2016,YR2016,Singapore,SGP,100,207203,57.754288823512,1232.99578609781,..,..,..,..,..,..,7,129.550674068348,127.426865710704,..,..,25.9868687254945,..,206.747005876175,150.480528523572,..,65.7,0,5,44.9033962999298,35.5431924310644,164,..,4.5,2.5,66.5,0.8
2016,YR2016,Spain,ESP,100,566775,113.15915864396,..,..,..,..,..,..,..,7,187.45058210746,111.339517684945,..,..,30.4496118631965,..,56.9447135357381,111.163325995733,..,17.9,49.6,8,40.7218025695655,42.3554297640075,510,..,12.5,13,152,1.5
2016,YR2016,Sweden,SWE,100,..,34.8409958095393,..,..,..,..,..,..,..,5,154.516865911339,128.82229439598,..,..,37.4053942182456,..,..,127.503389315187,..,100,0,6,19.2896330526027,31.5557264204349,483,..,7,7,122,2
2016,YR2016,Switzerland,CHE,100,229530,98.4320880786767,..,..,..,..,..,..,..,6,179.710041016605,175.264708847049,..,..,44.9136184782698,..,209.849049255767,133.806822611367,..,25.8,0,19,41.7076507462925,45.8628148291681,510,..,16,10,63,3
2016,YR2016,Thailand,THA,100,413880,113.061854506789,324.296102886693,..,..,..,..,..,..,7,167.353254653087,145.629583724274,..,..,10.4830549309465,17.6,105.148937142475,173.77707446065,1.2,53,0,21,39.6631601971667,6.83380752251475,440,2.5,7,27.5,262,1.5
2016,YR2016,Turkey,TUR,100,743673,78.0767024258514,803.89064527188,..,..,..,..,..,..,7,80.6041800090768,69.8526746817139,..,..,13.205095767044,..,19.886607856121,94.402476161399,..,0,76.6,11,29.4307402113795,13.9318589021545,580,..,7,6.5,216.5,4.5
2016,YR2016,Ukraine,UKR,100,55261,88.5532382688712,..,..,..,..,..,..,..,7,78.7787304511426,47.3505032302829,..,..,12.2174081712797,..,..,135.195655555072,..,40,0,5,24.3789647590264,20.1447925835038,378,..,17,6.5,355.5,2.9
2016,YR2016,United Arab Emirates,ARE,100,463947,65.683037189653,..,..,..,..,..,..,..,7,107.592995375398,83.8938934511244,..,..,13.9982665941142,..,62.0183337934548,214.734910155894,..,53.8,8.9,4,..,24.6591658852604,445,..,1.5,8.2,12,3.2
2016,YR2016,United Kingdom,GBR,100,1180312,129.492222872419,..,..,..,..,..,..,..,8,165.786622700122,134.255550954485,..,..,38.2887885668414,..,..,119.977347434222,..,100,0,8,46.596265851625,50.9407788653391,437,..,21.5,4.5,110,1
2016,YR2016,United States,USA,100,9640591,..,..,..,..,..,..,..,..,8,241.891277885599,192.165499849647,..,..,33.0023993914823,..,146.861593252964,122.875872294896,..,100,0,10.6,92.257875306214,37.7211959149307,420,..,15.2,5.6,175,1
2016,YR2016,Vietnam,VNM,100,248580,24.5019574482686,..,..,..,..,..,..,..,7,140.062030757062,123.814874699433,..,..,9.61126910497758,..,32.3445655385717,127.526084849389,..,14.8,41.8,31,..,5.91950082792395,400,..,57.5,24,540,5
2016,YR2016,"Hong Kong SAR, China",HKG,100,235581,50.5903064159194,..,..,..,..,..,..,..,7,210.617093106727,203.802440323819,..,..,35.9589820019409,..,995.145780043764,240.796207723485,..,100,0,3,..,59.1323954246312,385,..,27.5,1.5,72,0.8
2016,YR2016,Kazakhstan,KAZ,100,73188,74.0005856954933,..,..,..,..,..,..,..,7,43.2984427926717,33.0317636300263,..,..,13.0639008711269,..,29.2553221457192,141.956719845121,..,52,0,7,41.1567706922005,21.8543345310383,370,..,3.5,9,178,1.5
2016,YR2016,Morocco,MAR,100,80085,26.6964966063434,..,..,..,..,..,..,..,7,108.257629159796,63.8292011206204,..,..,3.55879359304445,..,55.5754879884646,117.680598793779,..,24.6,0,6,..,5.86837190893751,510,..,22,10,211,3.5
2016,YR2016,Czech Republic,CZE,100,43878,52.6691319483969,..,..,..,..,..,..,..,7,66.7431346422975,51.311603858176,..,..,28.9321019132411,..,..,117.661929703353,..,79.2,6.8,8,32.5418898601099,16.57335579944,611,..,28,9,234,2.1
2016,YR2016,Hungary,HUN,100,137605,59.4033208016578,470.108366778947,..,..,..,..,..,..,5,57.849657767067,34.1226674406104,..,..,28.857202002075,..,17.9255752723699,120.778925573866,..,89.8,0,11,30.8498636447272,31.9865181778316,605,..,17.5,7,277,2
2016,YR2016,Portugal,PRT,100,154448,168.764837925671,366.191812576936,..,..,..,..,..,..,7,159.350186559695,111.839749320595,..,..,32.5464558260724,..,27.9042663415919,111.574442466934,..,7.8,100,8,40.7494808827039,46.1612917626135,547,..,1,5,243,3
2016,YR2016,Romania,ROU,100,46733,66.6771336768831,208.410775804239,..,..,..,..,..,..,7,34.036041376847,28.1760391412356,..,..,22.4996527722126,..,..,115.78472999633,..,51.1,16.8,14,35.8612218396581,20.7805781783806,512,..,16,12,161,3.3
2016,YR2016,South Africa,ZAF,84.2,212865,69.2897894314741,..,..,..,..,..,..,..,7,176.576039475023,144.279932295975,..,..,2.05437879637292,..,321.649882279292,147.125205923013,..,63.7,0,7,56.3729467694837,8.07428690283487,600,..,23,45,203,2
2016,YR2016,"Egypt, Arab Rep.",EGY,100,115856,..,..,..,..,..,..,..,..,8,119.600128703763,34.134862625264,..,..,4.67052524216527,19,10.0090792809685,102.19750129067,3.2,21.6,7.1,29,..,6.39391194032657,1010,31.9,75,14.5,392,2.5
2015,YR2015,Algeria,DZA,99.3367080688477,65940,8.23633088086592,44.0490435363029,..,..,..,..,..,..,0,39.9957682217378,21.7254699840441,..,..,5.69165044289248,..,..,108.417322255621,..,0,1.9,27,..,8.1953016699034,630,..,55,20,385,1.3
2015,YR2015,Argentina,ARG,99.9952087402344,145585,60.5543672732141,377.93887429656,..,..,..,..,..,..,8,40.4276279370297,14.4142330417064,..,..,15.7903959358571,..,9.43836863309546,142.434809806539,..,100,42.6,9,27.2246545689832,23.2004687482186,995,..,51.5,24,405,2.4
2015,YR2015,Australia,AUS,100,668961,163.973968822003,..,..,..,..,..,..,..,7,175.977102148284,136.586163559788,..,..,28.6896108482024,..,87.9950708493997,108.279330925333,..,100,0,11,72.3555761982972,35.7149519932221,402,..,4.5,2.5,105,1
2015,YR2015,Austria,AUT,100,152056,117.936347716832,..,..,..,..,..,..,..,7,123.436409493982,85.8353737463068,..,..,28.29354818378,..,25.147329918308,155.215524706184,..,52.8,2.2,12,48.6754166469745,41.5951454239982,397,..,20.5,22,131,1.1
2015,YR2015,Belgium,BEL,100,141116,90.017071009613,688.999403519223,..,..,..,..,..,..,5,148.032430680213,61.5800268346452,..,..,36.5084240348549,..,91.1033706928547,113.165821221587,..,0,96.3,11,57.9351019041004,39.7655462378432,505,..,56,4,136,0.9
2015,YR2015,Bangladesh,BGD,68.2046813964844,55864,6.84698646458886,74.3696377724424,3.83333,2.5,3.5,4,3.5,3,0,60.1635688350366,44.4069747358857,..,..,3.03530589776039,..,..,81.4981401529021,..,0,0.9,33,31.6125364522537,0.536140353471754,1442,..,244,19.5,422,4
2015,YR2015,Brazil,BRA,99.710902,944557,114.27231502823,400.785574076685,..,..,..,..,..,..,7,107.063168960991,66.829700644229,..,..,12.3724107543121,..,27.2184107033655,125.175585210072,..,79,55.1,9.6,46.201094800069,21.2063963726765,731,..,31.7,83,2600,4
2015,YR2015,Canada,CAN,100,1322033,220.555629832477,..,..,..,..,..,..,..,8,..,..,..,..,36.2450778113392,..,102.165645059705,82.796219574406,..,100,0,8,78.2488715592223,43.4280872760333,830,..,4,1.5,131,0.8
2015,YR2015,China,CHN,100,3616026,76.7876395376749,344.440508700363,..,..,..,..,..,..,6,193.409580233901,152.55156517872,..,..,19.8310907393458,..,74.0015027191324,92.4808728658819,..,0,89.5,9,35.313976681167,16.5348087914134,496.3,..,19.5,29.4,261,1.7
2015,YR2015,Colombia,COL,98.186898,368947,40.577284651473,230.618670907568,..,..,..,..,..,..,7,52.703448601189,47.2211038826591,..,..,11.4574171473055,..,29.4853081907822,118.865890156643,..,88.7,0,11,37.303109497154,14.7407133972539,1288,..,15,12,239,1.7
2015,YR2015,Denmark,DNK,100,..,51.8174744788954,..,..,..,..,..,..,..,6,214.57751634348,170.743147380406,..,..,42.276163513776,..,..,124.44416513805,..,7.7,0,10,52.5754918103066,29.8310069356856,485,..,4,3.5,130,1
2015,YR2015,Ethiopia,ETH,33.4185905456543,83940,..,..,3.5,3,3,3.5,3.8,3,0,..,..,..,..,0.4786076738052,8.3,..,42.3654191016708,3.7,0,0.2,30,..,0.891774259023454,530,5.4,52,35,306,3
2015,YR2015,Finland,FIN,100,153849,33.7451057661014,..,..,..,..,..,..,..,6,156.903971298258,95.2424572050152,..,..,31.5561424496248,..,..,134.918749952116,..,20.5,0,8,28.1469176818014,9.79940408240401,485,..,47,14,93,0.9
2015,YR2015,France,FRA,100,607168,106.992747524193,..,..,..,..,..,..,..,6,147.414475407927,95.0900459964193,..,..,41.681921621139,..,85.6496820148227,103.450039662752,..,0,45.1,9,49.0165491313374,60.3951139609677,395,..,64,4,137,1.9
2015,YR2015,Germany,DEU,100,967453,122.166527093462,..,..,..,..,..,..,..,8,134.343107781775,77.6729913097761,..,..,37.5820094703578,..,50.8293295285922,117.932453171631,..,100,1.6,9,42.192788007179,55.5026645011775,479,..,52,10.5,218,1.2
2015,YR2015,Greece,GRC,100,124014,58.6684284801112,..,..,..,..,..,..,..,7,135.22619852992,112.822735256267,..,..,30.6569380805506,..,21.5194850105071,112.024184777764,..,81.2,0,8,33.8966089745048,46.8947565476297,1580,..,20,13,193,3.5
2015,YR2015,India,IND,88,787998,19.7013821146006,..,..,..,..,..,..,..,7,75.6541113860352,51.8970550644176,..,..,1.29427435834235,..,72.1186899938592,76.4717128013315,..,22,0,35,..,1.9494994392821,1445,..,46.8,30,251,4.3
2015,YR2015,Iraq,IRQ,99.8621826171875,12805,1.87581988377476,..,..,..,..,..,..,..,0,8.68173772055317,9.21342203147353,..,..,..,..,..,92.9209385106163,..,0,0,15,54.8221672151153,5.52945898881673,520,..,51,34.5,312,..
2015,YR2015,Ireland,IRL,100,718059,92.3964139449627,..,..,..,..,..,..,..,7,107.127825211841,53.270252268922,..,..,27.8603657320993,..,44.0472671296975,104.29568943856,..,100,0,9,53.7794049232387,41.1067024644333,650,..,31.5,6,82,0.4
2015,YR2015,Indonesia,IDN,97.5373674369822,682389,53.3103575711452,419.874080469355,..,..,..,..,..,..,6,46.7740662515085,39.1187982955119,..,..,1.54282902077115,21,41.0372564378792,131.292828394227,1.5,0,48.5,54,48.5933687037868,4.01996903395348,471,6,27.6,47.8,234,1.1
2015,YR2015,Israel,ISR,100,49020,107.022275181452,..,..,..,..,..,..,..,7,82.3362962545732,66.6788346175748,..,..,26.9450968541692,..,81.5475438254309,131.067498273617,..,67.5,0,33,43.2420817776025,42.3086380425336,975,..,81,13,235,2
2015,YR2015,Japan,JPN,100,956015,127.651516888282,..,..,..,..,..,..,..,6,341.81089703888,162.058999055422,..,..,30.3751449560937,..,111.375287776936,125.461837619826,..,100,0,14,52.7368495626544,49.7796975248861,360,..,13,12.1,204,0.6
